Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Matteo Pelagatti,SECS-S/03,0000-0002-1860-7535,16.0,https://openalex.org/A5041483987,"['https://openalex.org/I4210137189', 'https://openalex.org/I171543936', 'https://openalex.org/I189158943']",1,https://openalex.org/I66752286
Fulvia Pennoni,SECS-S/01,0000-0002-6331-7211,15.0,https://openalex.org/A5021943787,"['https://openalex.org/I45084792', 'https://openalex.org/I4210152479', 'https://openalex.org/I4210112122']",1,https://openalex.org/I66752286
Dario Pescini,INF/01,0000-0002-3090-4823,21.0,https://openalex.org/A5065568541,"['https://openalex.org/I189158943', 'https://openalex.org/I115752224']",1,https://openalex.org/I66752286
Luca Presotto,FIS/07,0000-0002-8809-0877,25.0,https://openalex.org/A5021078706,"['https://openalex.org/I4210153126', 'https://openalex.org/I116067653', 'https://openalex.org/I154387261', 'https://openalex.org/I4387155925', 'https://openalex.org/I4210133214', 'https://openalex.org/I4210106645', 'https://openalex.org/I4396570609', 'https://openalex.org/I2800920820', 'https://openalex.org/I4210164485']",1,https://openalex.org/I66752286
Paola Rebora,MED/01,0000-0003-0606-5852,32.0,https://openalex.org/A5055188160,"['https://openalex.org/I4210110840', 'https://openalex.org/I4210153126', 'https://openalex.org/I4210094195', 'https://openalex.org/I2802107665', 'https://openalex.org/I4210087978', 'https://openalex.org/I110736937', 'https://openalex.org/I154526488', 'https://openalex.org/I4210093692', 'https://openalex.org/I111112146']",1,https://openalex.org/I66752286
Fabio Antonio Stella,MAT/09,0000-0002-1394-0507,19.0,https://openalex.org/A5020281960,"['https://openalex.org/I189158943', 'https://openalex.org/I4210131007', 'https://openalex.org/I174659583', 'https://openalex.org/I4387153939', 'https://openalex.org/I4210142437']",1,https://openalex.org/I66752286
Marco Viviani,INF/01,0000-0002-2274-9050,25.0,https://openalex.org/A5074645479,"['https://openalex.org/I83467386', 'https://openalex.org/I114531698', 'https://openalex.org/I2801802255', 'https://openalex.org/I1305651353', 'https://openalex.org/I1325517477', 'https://openalex.org/I189158943', 'https://openalex.org/I4210131007', 'https://openalex.org/I4210105785', 'https://openalex.org/I115752224']",1,https://openalex.org/I66752286
Riccardo De Carlis,,0000-0003-3697-1653,24.0,https://openalex.org/A5088909032,,0,https://openalex.org/I138689650
Andrea Lauterio,,0000-0001-6110-8582,29.0,https://openalex.org/A5064599624,,0,https://openalex.org/I4210094195
C. Burcin Taner,,0000-0002-3916-3566,37.0,https://openalex.org/A5015694544,,0,https://openalex.org/I4210146710
Nicolò Tamini,,0000-0003-3917-6831,22.0,https://openalex.org/A5018006317,,0,https://openalex.org/I4210110840
Luca Gianotti,,0000-0001-7335-8394,59.0,https://openalex.org/A5013102708,,0,https://openalex.org/I66752286
Lorenzo Ripamonti,,0000-0002-3762-4285,8.0,https://openalex.org/A5069393835,,0,https://openalex.org/I4210153126
