id,Name,ins_id,ins_name,ins_type,ins_country,topics,hindex,orcid
https://openalex.org/A5069923967,M. Besher Massri,https://openalex.org/I3006985408,Jožef Stefan Institute,funder,SI,"['Data-Driven Disease Surveillance', 'Advanced Text Analysis Techniques', 'Olfactory and Sensory Function Studies', 'Anomaly Detection Techniques and Applications', 'Flood Risk Assessment and Management']",4,0000-0001-9134-4025
https://openalex.org/A5088767562,Blerina Spahiu,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Semantic Web and Ontologies', 'Data Quality and Management', 'Natural Language Processing Techniques', 'Biomedical Text Mining and Ontologies', 'Advanced Database Systems and Queries']",9,0000-0002-6958-8215
https://openalex.org/A5043874320,Marko Grobelnik,https://openalex.org/I3006985408,Jožef Stefan Institute,funder,SI,"['Semantic Web and Ontologies', 'Topic Modeling', 'Natural Language Processing Techniques', 'Advanced Text Analysis Techniques', 'Data Mining Algorithms and Applications']",36,0000-0001-7373-5591
https://openalex.org/A5089073594,Vladimir Alexiev,https://openalex.org/I46831270,Ontotext (Bulgaria),company,BG,"['Semantic Web and Ontologies', 'Research Data Management Practices', 'Digital and Traditional Archives Management', 'Scientific Computing and Data Management', 'Biomedical Text Mining and Ontologies']",9,0000-0001-7508-7428
https://openalex.org/A5016864296,Dumitru Roman,https://openalex.org/I173888879,SINTEF,facility,NO,"['Semantic Web and Ontologies', 'Service-Oriented Architecture and Web Services', 'Data Quality and Management', 'Cloud Computing and Resource Management', 'Business Process Modeling and Analysis']",24,0000-0001-6397-3705
https://openalex.org/A5052565959,Gianluca Demartini,https://openalex.org/I160993911,Queensland University of Technology,funder,AU,"['Mobile Crowdsensing and Crowdsourcing', 'Topic Modeling', 'Web Data Mining and Analysis', 'Semantic Web and Ontologies', 'Data Quality and Management']",33,0000-0002-7311-3693
https://openalex.org/A5015313855,Katja Hose,https://openalex.org/I145847075,TU Wien,funder,AT,"['Semantic Web and Ontologies', 'Advanced Database Systems and Queries', 'Data Quality and Management', 'Data Management and Algorithms', 'Advanced Graph Neural Networks']",27,0000-0001-7025-8099
https://openalex.org/A5091892854,Maribel Acosta,https://openalex.org/I62916508,Technical University of Munich,funder,DE,"['Semantic Web and Ontologies', 'Data Quality and Management', 'Advanced Database Systems and Queries', 'Media and Digital Communication', 'Advanced Graph Neural Networks']",14,0000-0002-1209-2868
https://openalex.org/A5063617509,Gong Cheng,https://openalex.org/I4210107205,Russian State University for Physical Education Sport Youth and Tourism,education,RU,"['Semantic Web and Ontologies', 'Topic Modeling', 'Data Quality and Management', 'Natural Language Processing Techniques', 'Advanced Graph Neural Networks']",27,0000-0003-3539-7776
https://openalex.org/A5023760284,Hala Skaf‐Molli,https://openalex.org/I4210117005,Laboratoire des Sciences du Numérique de Nantes,facility,FR,"['Semantic Web and Ontologies', 'Service-Oriented Architecture and Web Services', 'Advanced Database Systems and Queries', 'Data Quality and Management', 'Peer-to-Peer Network Technologies']",17,0000-0003-1062-6659
