,Last name,Name,hindex,openalex id,institutions id,institutions name,topics,SSD,orcid,Course
10,Forte,Gianfranco,6.0,https://openalex.org/A5083598816,"['https://openalex.org/I66752286', 'https://openalex.org/I71209653']","['University of Milano-Bicocca', 'Bocconi University']","['Finance', 'Accounting', 'Strategy and Management', 'General Economics, Econometrics and Finance', 'Economics and Econometrics', 'Management Science and Operations Research', 'Information Systems']",SECS-P/11,0000-0002-3412-4162,Financial Markets Analytics
11,Gianini,Gabriele,32.0,https://openalex.org/A5037738148,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I4210141355', 'https://openalex.org/I176601375', 'https://openalex.org/I126520041', 'https://openalex.org/I1332878012', 'https://openalex.org/I36253440', 'https://openalex.org/I3132238960', 'https://openalex.org/I2802999702', 'https://openalex.org/I188538660']","['University of Milano-Bicocca', 'University of Milan', 'EBTIC', 'Khalifa University of Science and Technology', 'University of Science and Technology of China', 'BT Group (United Kingdom)', 'IEEE Computer Society', 'Institute of Electrical and Electronics Engineers', 'Regional Municipality of Niagara', 'University of Colorado Boulder']","['Nuclear and High Energy Physics', 'Radiation', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications', 'Biomedical Engineering', 'Electrical and Electronic Engineering', 'Atomic and Molecular Physics, and Optics', 'Management Information Systems', 'Cognitive Neuroscience', 'Artificial Intelligence', 'Information Systems']",INF/01,0000-0001-5186-0199,Green Computing
12,Guerzoni,Marco,6.0,https://openalex.org/A5102799538,"['https://openalex.org/I160013858', 'https://openalex.org/I4210148700', 'https://openalex.org/I55143463', 'https://openalex.org/I71209653', 'https://openalex.org/I66752286', 'https://openalex.org/I1330701686', 'https://openalex.org/I76198965']","['Istituto Nazionale di Fisica Nucleare', 'Istituto Nazionale di Fisica Nucleare, Sezione di Bologna', 'University of Turin', 'Bocconi University', 'University of Milano-Bicocca', 'Collegio Carlo Alberto', 'Friedrich Schiller University Jena']","['Economics and Econometrics', 'Nuclear and High Energy Physics', 'Management of Technology and Innovation', 'Management Science and Operations Research', 'Radiation', 'Accounting', 'Strategy and Management', 'General Social Sciences', 'General Economics, Econometrics and Finance', 'Mechanics of Materials', 'Artificial Intelligence', 'Marketing', 'Electrical and Electronic Engineering']",SECS-P/06,0000-0001-7415-0771,Economics for Data Science
13,Maurino,Andrea,21.0,https://openalex.org/A5067371383,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I861853513', 'https://openalex.org/I93860229']","['University of Milano-Bicocca', 'University of Milan', 'Sapienza University of Rome', 'Politecnico di Milano']","['Artificial Intelligence', 'Information Systems', 'Management Science and Operations Research', 'Computer Networks and Communications', 'Management Information Systems', 'Signal Processing', 'Molecular Biology', 'Sociology and Political Science', 'Political Science and International Relations', 'Software', 'Transportation', 'Geography, Planning and Development', 'Epidemiology', 'Building and Construction']",INF/01,0000-0001-9803-3668,Data Management
14,Mercorio,Fabio,22.0,https://openalex.org/A5047827615,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I26415053']","['University of Milano-Bicocca', 'University of Milan', ""University of L'Aquila""]","['Artificial Intelligence', 'Management Science and Operations Research', 'Information Systems', 'Computational Theory and Mathematics', 'Software', 'Molecular Biology', 'Computer Networks and Communications', 'Management Information Systems', 'Computer Vision and Pattern Recognition', 'Statistical and Nonlinear Physics', 'Information Systems and Management', 'Economics and Econometrics']",INF/01,0000-0001-6864-2702,Business Intelligence
15,Messina,Enza,22.0,https://openalex.org/A5061496529,"['https://openalex.org/I66752286', 'https://openalex.org/I4210090796', 'https://openalex.org/I84218800', 'https://openalex.org/I189158943', 'https://openalex.org/I4210108695', 'https://openalex.org/I59433898']","['University of Milano-Bicocca', 'Istituto Zooprofilattico Sperimentale Della Sicilia', 'University of California, Davis', 'University of Milan', 'Gheorghe Asachi Technical University of Iași', 'Brunel University of London']","['Artificial Intelligence', 'Statistical and Nonlinear Physics', 'Molecular Biology', 'Information Systems', 'Management Science and Operations Research', 'Computational Theory and Mathematics', 'Signal Processing', 'Computer Vision and Pattern Recognition', 'Industrial and Manufacturing Engineering']",MAT/09,0000-0002-4062-0824,Decision Models
16,Monti,Gianna,13.0,https://openalex.org/A5053644955,['https://openalex.org/I66752286'],['University of Milano-Bicocca'],"['Artificial Intelligence', 'Environmental Engineering', 'Statistics and Probability', 'Immunology and Allergy', 'Health, Toxicology and Mutagenesis', 'Food Science', 'Physiology', 'Media Technology', 'Pollution', 'Computational Theory and Mathematics', 'Mechanics of Materials', 'Applied Mathematics', 'Control and Systems Engineering', 'Clinical Psychology', 'Ecology, Evolution, Behavior and Systematics', 'Mechanical Engineering', 'Statistics, Probability and Uncertainty', 'Molecular Biology', 'Marketing', 'Computational Mechanics', 'Management Science and Operations Research']",SECS-S/01,0000-0002-7952-3618,High Dimensional Data Analysis
17,Moretto,Enrico,9.0,https://openalex.org/A5014795659,"['https://openalex.org/I106296451', 'https://openalex.org/I2799358833', 'https://openalex.org/I20272500']","['University of Foggia', 'Azienda Ospedaliera San Giovanni Addolorata', 'University of Basilicata']","['Experimental and Cognitive Psychology', 'Social Psychology', 'Clinical Psychology', 'Applied Psychology', 'Artificial Intelligence', 'Philosophy', 'Health Informatics', 'Cognitive Neuroscience', 'Developmental and Educational Psychology', 'Psychiatry and Mental health', 'Human-Computer Interaction', 'Public Health, Environmental and Occupational Health', 'Neuropsychology and Physiological Psychology', 'Genetics', 'Physiology']",SECS-S/06,0000-0002-3436-1395,Data Science Lab in Business and Marketing
18,Napoletano,Paolo,34.0,https://openalex.org/A5053344554,"['https://openalex.org/I66752286', 'https://openalex.org/I160013858', 'https://openalex.org/I4210140564', 'https://openalex.org/I189158943', 'https://openalex.org/I131729948', 'https://openalex.org/I861853513', 'https://openalex.org/I4210157811']","['University of Milano-Bicocca', 'Istituto Nazionale di Fisica Nucleare', 'Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Salerno', 'Sapienza University of Rome', 'Centro di Ricerca in Matematica Pura ed Applicata']","['Computer Vision and Pattern Recognition', 'Media Technology', 'Artificial Intelligence', 'Biomedical Engineering', 'Information Systems', 'Cognitive Neuroscience', 'Analytical Chemistry', 'Human-Computer Interaction', 'Experimental and Cognitive Psychology', 'General Health Professions']",INF/01,0000-0001-9112-0574,Foundations of Deep Learning
19,Paganoni,Marco,145.0,https://openalex.org/A5100656992,"['https://openalex.org/I4210140564', 'https://openalex.org/I66752286', 'https://openalex.org/I4210129701', 'https://openalex.org/I132091411', 'https://openalex.org/I149213910', 'https://openalex.org/I67311998', 'https://openalex.org/I57201433', 'https://openalex.org/I189158943', 'https://openalex.org/I4210099850', 'https://openalex.org/I2802335433']","['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milano-Bicocca', 'Institute of High Energy Physics', 'A. Alikhanyan National Laboratory', 'University of Antwerp', 'European Organization for Nuclear Research', 'Università della Svizzera italiana', 'University of Milan', 'Istituto Nazionale di Fisica Nucleare, Sezione di Torino', 'Aarhus University Hospital']","['Nuclear and High Energy Physics', 'Astronomy and Astrophysics', 'Artificial Intelligence', 'Radiation', 'Radiology, Nuclear Medicine and Imaging', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Aerospace Engineering', 'Biomedical Engineering', 'Pulmonary and Respiratory Medicine', 'Statistical and Nonlinear Physics', 'Information Systems and Management', 'Instrumentation']",FIS/01,0000-0003-2461-275X,Data Science Lab in Environment and Physics
20,Palmonari,Matteo,21.0,https://openalex.org/A5065845420,"['https://openalex.org/I66752286', 'https://openalex.org/I190249584', 'https://openalex.org/I4210136402', 'https://openalex.org/I103320735', 'https://openalex.org/I189158943', 'https://openalex.org/I39422238']","['University of Milano-Bicocca', 'Universität Innsbruck', 'Tekniker', 'Università Cattolica del Sacro Cuore', 'University of Milan', 'University of Illinois Chicago']","['Artificial Intelligence', 'Management Science and Operations Research', 'Information Systems', 'Signal Processing', 'Computer Networks and Communications', 'Molecular Biology', 'Management Information Systems', 'Cultural Studies', 'General Social Sciences', 'Statistical and Nonlinear Physics']",INF/01,0000-0002-1801-5118,Data Semantics
21,Pasi,Gabriella,41.0,https://openalex.org/A5066756066,"['https://openalex.org/I66752286', 'https://openalex.org/I83467386', 'https://openalex.org/I114531698', 'https://openalex.org/I2801802255', 'https://openalex.org/I1325517477', 'https://openalex.org/I4210126580', 'https://openalex.org/I4210096147', 'https://openalex.org/I13955877', 'https://openalex.org/I133731052', 'https://openalex.org/I16391192']","['University of Milano-Bicocca', 'IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'American Jewish Committee', 'RIKEN Center for Advanced Intelligence Project', 'Mongolia International University', 'Bar-Ilan University', 'University of Helsinki', 'Tel Aviv University']","['Signal Processing', 'Artificial Intelligence', 'Information Systems', 'Management Science and Operations Research', 'Computer Networks and Communications', 'Computational Theory and Mathematics', 'Sociology and Political Science', 'Computer Vision and Pattern Recognition', 'Statistical and Nonlinear Physics', 'Molecular Biology', 'Management Information Systems']",INF/01,0000-0002-6080-8170,Text Mining and Search
22,Pelagatti,Matteo,16.0,https://openalex.org/A5041483987,"['https://openalex.org/I66752286', 'https://openalex.org/I4210137189', 'https://openalex.org/I171543936', 'https://openalex.org/I189158943']","['University of Milano-Bicocca', 'Center for Interdisciplinary Studies', 'Free University of Bozen-Bolzano', 'University of Milan']","['General Economics, Econometrics and Finance', 'Electrical and Electronic Engineering', 'Finance', 'Economics and Econometrics', 'Management Science and Operations Research', 'Control and Systems Engineering', 'Modeling and Simulation', 'Statistics and Probability', 'Renewable Energy, Sustainability and the Environment', 'Global and Planetary Change', 'General Health Professions', 'Health, Toxicology and Mutagenesis']",SECS-S/03,0000-0002-1860-7535,Streaming Data Management and Time Series Analysis
23,Pennoni,Fulvia,15.0,https://openalex.org/A5021943787,"['https://openalex.org/I66752286', 'https://openalex.org/I45084792', 'https://openalex.org/I4210152479', 'https://openalex.org/I4210112122']","['University of Milano-Bicocca', 'University of Florence', 'Statistical Service', 'Florence (Netherlands)']","['Management Science and Operations Research', 'Demography', 'Political Science and International Relations', 'Artificial Intelligence', 'Statistics and Probability', 'Information Systems', 'Epidemiology', 'General Social Sciences', 'Marketing', 'Economics and Econometrics', 'Tourism, Leisure and Hospitality Management', 'Sociology and Political Science', 'Education', 'Modeling and Simulation', 'Finance']",SECS-S/01,0000-0002-6331-7211,Statistical Modeling
24,Pescini,Dario,21.0,https://openalex.org/A5065568541,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I115752224']","['University of Milano-Bicocca', 'University of Milan', 'University of Insubria']","['Molecular Biology', 'Computational Theory and Mathematics', 'Biomedical Engineering', 'Computer Networks and Communications', 'Genetics', 'Physical and Theoretical Chemistry', 'Control and Systems Engineering', 'Toxicology', 'Sensory Systems', 'Ecological Modeling']",INF/01,0000-0002-3090-4823,Data Science Lab in Biosciences
25,Presotto,Luca,25.0,https://openalex.org/A5021078706,"['https://openalex.org/I66752286', 'https://openalex.org/I4210153126', 'https://openalex.org/I116067653', 'https://openalex.org/I154387261', 'https://openalex.org/I4387155925', 'https://openalex.org/I4210133214', 'https://openalex.org/I4210106645', 'https://openalex.org/I4396570609', 'https://openalex.org/I2800920820', 'https://openalex.org/I4210164485']","['University of Milano-Bicocca', 'Istituti di Ricovero e Cura a Carattere Scientifico', 'University of Rome Tor Vergata', 'Vita-Salute San Raffaele University', 'Istituto di Ricovero e Cura a Carattere Scientifico San Raffaele', 'IRCCS Ospedale San Raffaele', 'Ospedale Papa Giovanni XXIII', 'Azienda Socio Sanitaria Territoriale di Cremona', 'Istituto Universitario di Studi Superiori di Pavia', 'Fondazione IRCCS Istituto Neurologico Carlo Besta']","['Radiology, Nuclear Medicine and Imaging', 'Psychiatry and Mental health', 'Biomedical Engineering', 'Physiology', 'Cognitive Neuroscience', 'Neurology', 'Radiation', 'Oncology', 'Pulmonary and Respiratory Medicine', 'Biophysics', 'Epidemiology']",FIS/07,0000-0002-8809-0877,Data Science Lab in Medicine
26,Rebora,Paola,32.0,https://openalex.org/A5055188160,"['https://openalex.org/I66752286', 'https://openalex.org/I4210110840', 'https://openalex.org/I4210153126', 'https://openalex.org/I4210094195', 'https://openalex.org/I2802107665', 'https://openalex.org/I4210087978', 'https://openalex.org/I110736937', 'https://openalex.org/I154526488', 'https://openalex.org/I4210093692', 'https://openalex.org/I111112146']","['University of Milano-Bicocca', 'Azienda Ospedaliera San Gerardo', 'Istituti di Ricovero e Cura a Carattere Scientifico', 'Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda', 'Martin University', 'Centre Hospitalier Universitaire de Besançon', 'Délégation Paris 5', 'Inserm', 'North Estonia Medical Centre', 'Tallinn University of Technology']","['Neurology', 'Endocrinology, Diabetes and Metabolism', 'Economics and Econometrics', 'Cardiology and Cardiovascular Medicine', 'Critical Care and Intensive Care Medicine', 'Infectious Diseases', 'Public Health, Environmental and Occupational Health', 'Pulmonary and Respiratory Medicine', 'Statistics and Probability', 'Pharmacy', 'Epidemiology', 'Geriatrics and Gerontology', 'Emergency Medicine', 'Family Practice', 'Nephrology']",MED/01,0000-0003-0606-5852,Big Data in Public Health
27,Stella,Fabio Antonio,19.0,https://openalex.org/A5020281960,"['https://openalex.org/I66752286', 'https://openalex.org/I189158943', 'https://openalex.org/I4210131007', 'https://openalex.org/I174659583', 'https://openalex.org/I4387153939', 'https://openalex.org/I4210142437']","['University of Milano-Bicocca', 'University of Milan', 'John Wiley & Sons (United States)', 'Ecological Society of America', 'Milano University Press', 'Mylan (Switzerland)']","['Artificial Intelligence', 'Management Science and Operations Research', 'Signal Processing', 'Information Systems', 'Control and Systems Engineering', 'Management Information Systems', 'Statistics and Probability', 'Finance', 'Molecular Biology', 'Sociology and Political Science', 'Computational Theory and Mathematics', 'Cognitive Neuroscience', 'Plant Science']",MAT/09,0000-0002-1394-0507,Machine Learning
28,Viviani,Marco,25.0,https://openalex.org/A5074645479,"['https://openalex.org/I66752286', 'https://openalex.org/I83467386', 'https://openalex.org/I114531698', 'https://openalex.org/I2801802255', 'https://openalex.org/I1305651353', 'https://openalex.org/I1325517477', 'https://openalex.org/I189158943', 'https://openalex.org/I4210131007', 'https://openalex.org/I4210105785', 'https://openalex.org/I115752224']","['University of Milano-Bicocca', 'IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'Pew Research Center', 'American Jewish Committee', 'University of Milan', 'John Wiley & Sons (United States)', 'Intelligent Systems Research (United States)', 'University of Insubria']","['Sociology and Political Science', 'Information Systems', 'Artificial Intelligence', 'Computer Networks and Communications', 'Statistical and Nonlinear Physics', 'Signal Processing', 'Molecular Biology', 'Communication']",INF/01,0000-0002-2274-9050,Text Mining and Search
